Date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
192607,1.0874,0.9349,-0.0695,5.7168,1.962,1.4222
192608,0.703,1.23,5.3842,2.7154,2.693,6.3154
192609,-2.9117,-0.1303,-0.4374,1.4287,0.0704,-0.7967
192610,-3.8196,-4.586,-2.0112,-3.5898,-2.3398,-4.097
192611,3.1806,3.7233,2.0944,3.1292,2.8952,3.4614
192612,2.6862,1.9547,3.2639,2.9678,2.6016,2.395
192701,-0.7991,-0.4209,3.9316,-0.2621,0.0358,4.4635
192702,3.7129,6.1231,6.6192,5.0044,3.5692,8.6305
192703,-1.8324,-1.6153,-3.1676,1.3025,0.2287,-2.4764
192704,-1.5412,1.2685,3.4796,3.051,-0.7753,-0.5452
192705,5.4586,3.5902,13.3256,5.4076,5.0903,7.4921
192706,-1.5517,1.4073,-3.9474,-0.9628,-3.0138,-1.6326
192707,4.2702,5.2347,3.9846,9.2637,6.7228,7.2603
192708,2.4503,-2.2044,0.86,3.9309,1.2184,-1.9651
192709,2.2496,2.2316,0.399,5.3697,4.4213,5.9674
192710,-0.2072,-2.1458,-5.8357,-3.5889,-4.3444,-6.6219
192711,10.3238,8.062,10.2275,7.0845,6.7295,6.6346
192712,5.701,2.6016,2.4506,2.4925,1.862,3.4755
192801,3.2211,2.7804,3.5948,-0.4427,-0.416,-2.3168
192802,-4.8858,-1.7203,-4.1271,-0.6772,-1.1358,-2.7296
192803,7.3978,8.6229,9.457,12.3241,6.1,7.8254
192804,4.665,10.6845,9.9723,2.9336,5.9573,4.4979
192805,7.1742,1.954,2.574,2.575,-0.0551,0.6388
192806,-8.5829,-8.3044,-6.8294,-3.604,-4.1281,-5.4164
192807,-0.4048,-0.3636,-0.8867,1.359,0.1188,0.8312
192808,6.124,4.9813,3.699,8.7368,5.3973,6.8565
192809,5.7317,4.4758,6.1762,2.9576,1.9499,4.2317
192810,6.8299,3.1376,1.6621,1.359,1.4018,2.1979
192811,8.6705,11.1328,12.2831,11.1602,13.3096,12.9505
192812,0.9055,-0.6882,-0.6462,0.9332,0.0161,1.1879
192901,-0.034,1.85,1.448,6.5262,4.8424,2.5673
192902,0.7414,1.1026,0.382,-0.5791,0.8461,3.0915
192903,-5.9533,-3.4099,-4.0571,-1.3835,2.222,-0.1243
192904,-0.0822,2.8082,0.5004,2.2172,1.1121,2.808
192905,-10.2009,-9.4284,-12.5598,-5.7297,-4.151,-6.2127
192906,6.9673,9.3803,6.4064,12.4593,9.3568,7.4384
192907,-0.0602,-0.6367,3.8633,3.5656,6.2018,4.9529
192908,-0.7741,-0.5429,-0.4544,7.272,12.543,6.9497
192909,-4.2711,-4.2824,-3.6218,-4.4211,-4.9685,-6.3175
192910,-21.5559,-19.2947,-19.8329,-24.1865,-14.0943,-10.3723
192911,-16.1934,-9.7481,-12.3366,-14.2535,-10.9314,-7.6677
192912,-2.7485,-3.5662,-1.8488,3.3988,0.551,1.317
193001,6.0455,9.5581,8.4631,7.1735,3.3849,2.9221
193002,1.7451,1.0483,4.3779,3.4639,1.9009,1.2221
193003,8.6368,11.3525,10.7647,6.816,8.3445,5.3573
193004,-7.0717,-1.2287,-3.4814,-2.361,-1.7312,-6.6523
193005,-3.6161,-2.42,-2.9578,0.7061,-2.2694,-1.365
193006,-17.4935,-16.4711,-18.9287,-17.849,-13.1218,-11.8439
193007,6.5208,3.728,2.5801,4.4017,4.2198,5.2644
193008,-3.7646,-1.6135,-2.5297,1.1969,-0.8,-1.6232
193009,-13.6823,-14.6721,-19.1597,-12.0325,-11.7394,-17.0858
193010,-10.1007,-7.6801,-10.8088,-9.4278,-7.3264,-11.4835
193011,0.2231,-2.7838,-2.58,-2.3616,-2.8339,-6.6002
193012,-10.4113,-11.0266,-17.2599,-5.8057,-9.1776,-9.7245
